id,latitude,longitude
1,51.2868,-0.5103
2,51.2868,-0.4165
3,51.2868,-0.3227
4,51.2868,-0.2289
5,51.2868,-0.1351
6,51.2868,-0.0412
7,51.2868,0.0526
8,51.2868,0.1464
9,51.2868,0.2402
10,51.2868,0.3340
11,51.3157,-0.5103
12,51.3157,-0.4165
13,51.3157,-0.3227
14,51.3157,-0.2289
15,51.3157,-0.1351
16,51.3157,-0.0412
17,51.3157,0.0526
18,51.3157,0.1464
19,51.3157,0.2402
20,51.3157,0.3340
21,51.3447,-0.5103
22,51.3447,-0.4165
23,51.3447,-0.3227
24,51.3447,-0.2289
25,51.3447,-0.1351
26,51.3447,-0.0412
27,51.3447,0.0526
28,51.3447,0.1464
29,51.3447,0.2402
30,51.3447,0.3340
31,51.3736,-0.5103
32,51.3736,-0.4165
33,51.3736,-0.3227
34,51.3736,-0.2289
35,51.3736,-0.1351
36,51.3736,-0.0412
37,51.3736,0.0526
38,51.3736,0.1464
39,51.3736,0.2402
40,51.3736,0.3340
41,51.4025,-0.5103
42,51.4025,-0.4165
43,51.4025,-0.3227
44,51.4025,-0.2289
45,51.4025,-0.1351
46,51.4025,-0.0412
47,51.4025,0.0526
48,51.4025,0.1464
49,51.4025,0.2402
50,51.4025,0.3340
51,51.4315,-0.5103
52,51.4315,-0.4165
53,51.4315,-0.3227
54,51.4315,-0.2289
55,51.4315,-0.1351
56,51.4315,-0.0412
57,51.4315,0.0526
58,51.4315,0.1464
59,51.4315,0.2402
60,51.4315,0.3340
61,51.4604,-0.5103
62,51.4604,-0.4165
63,51.4604,-0.3227
64,51.4604,-0.2289
65,51.4604,-0.1351
66,51.4604,-0.0412
67,51.4604,0.0526
68,51.4604,0.1464
69,51.4604,0.2402
70,51.4604,0.3340
71,51.4894,-0.5103
72,51.4894,-0.4165
73,51.4894,-0.3227
74,51.4894,-0.2289
75,51.4894,-0.1351
76,51.4894,-0.0412
77,51.4894,0.0526
78,51.4894,0.1464
79,51.4894,0.2402
80,51.4894,0.3340
81,51.5183,-0.5103
82,51.5183,-0.4165
83,51.5183,-0.3227
84,51.5183,-0.2289
85,51.5183,-0.1351
86,51.5183,-0.0412
87,51.5183,0.0526
88,51.5183,0.1464
89,51.5183,0.2402
90,51.5183,0.3340
91,51.5472,-0.5103
92,51.5472,-0.4165
93,51.5472,-0.3227
94,51.5472,-0.2289
95,51.5472,-0.1351
96,51.5472,-0.0412
97,51.5472,0.0526
98,51.5472,0.1464
99,51.5472,0.2402
100,51.5472,0.3340
101,51.5762,-0.5103
102,51.5762,-0.4165
103,51.5762,-0.3227
104,51.5762,-0.2289
105,51.5762,-0.1351
106,51.5762,-0.0412
107,51.5762,0.0526
108,51.5762,0.1464
109,51.5762,0.2402
110,51.5762,0.3340
111,51.6051,-0.5103
112,51.6051,-0.4165
113,51.6051,-0.3227
114,51.6051,-0.2289
115,51.6051,-0.1351
116,51.6051,-0.0412
117,51.6051,0.0526
118,51.6051,0.1464
119,51.6051,0.2402
120,51.6051,0.3340
121,51.6340,-0.5103
122,51.6340,-0.4165
123,51.6340,-0.3227
124,51.6340,-0.2289
125,51.6340,-0.1351
126,51.6340,-0.0412
127,51.6340,0.0526
128,51.6340,0.1464
129,51.6340,0.2402
130,51.6340,0.3340
131,51.6630,-0.5103
132,51.6630,-0.4165
133,51.6630,-0.3227
134,51.6630,-0.2289
135,51.6630,-0.1351
136,51.6630,-0.0412
137,51.6630,0.0526
138,51.6630,0.1464
139,51.6630,0.2402
140,51.6630,0.3340
141,51.6919,-0.5103
142,51.6919,-0.4165
143,51.6919,-0.3227
144,51.6919,-0.2289
145,51.6919,-0.1351
146,51.6919,-0.0412
147,51.6919,0.0526
148,51.6919,0.1464
149,51.6919,0.2402
150,51.6919,0.3340
